obsnme,obsval,weight,obgnme,oname,otype,usecol,time,i,j,totim
gw_098_19960213,-3.0370000E+01,0,gw_098,,,,,,,
gw_098_19960328,-3.0470000E+01,0,gw_098,,,,,,,
gw_098_19960528,-3.0510000E+01,0,gw_098,,,,,,,
gw_098_19960614,-3.0390000E+01,0,gw_098,,,,,,,
gw_098_19960809,-3.0050000E+01,0,gw_098,,,,,,,
gw_098_19961121,-3.0390000E+01,0,gw_098,,,,,,,
gw_098_19970221,-3.0540000E+01,0,gw_098,,,,,,,
gw_098_19970425,-3.0580000E+01,0,gw_098,,,,,,,
gw_098_19970725,-2.9960000E+01,0,gw_098,,,,,,,
gw_098_19971010,-2.9900000E+01,0,gw_098,,,,,,,
gw_098_19971217,-3.0110000E+01,0,gw_098,,,,,,,
gw_098_19980219,-3.0450000E+01,0,gw_098,,,,,,,
gw_098_19980402,-3.0530000E+01,0,gw_098,,,,,,,
gw_098_19980513,-3.0590000E+01,0,gw_098,,,,,,,
gw_098_19980518,-3.0600000E+01,0,gw_098,,,,,,,
gw_098_19980609,-3.0500000E+01,0,gw_098,,,,,,,
gw_098_19980731,-2.9970000E+01,0,gw_098,,,,,,,
gw_098_19981001,-2.9780000E+01,0,gw_098,,,,,,,
gw_098_19990226,-3.0390000E+01,0,gw_098,,,,,,,
gw_098_19990330,-3.0460000E+01,0,gw_098,,,,,,,
gw_098_19990706,-3.0120000E+01,0,gw_098,,,,,,,
gw_098_19991026,-3.0100000E+01,0,gw_098,,,,,,,
gw_098_20000128,-3.0450000E+01,0,gw_098,,,,,,,
gw_098_20000512,-3.0580000E+01,0,gw_098,,,,,,,
gw_098_20000807,-2.9790000E+01,0,gw_098,,,,,,,
gw_098_20001030,-3.0210000E+01,0,gw_098,,,,,,,
gw_098_20010119,-3.0370000E+01,0,gw_098,,,,,,,
gw_098_20010419,-3.0500000E+01,0,gw_098,,,,,,,
gw_098_20010709,-2.9900000E+01,0,gw_098,,,,,,,
gw_098_20011001,-2.9810000E+01,0,gw_098,,,,,,,
gw_098_20020305,-3.0450000E+01,0,gw_098,,,,,,,
gw_098_20020516,-3.0580000E+01,0,gw_098,,,,,,,
gw_098_20020612,-3.0540000E+01,0,gw_098,,,,,,,
gw_098_20020701,-3.0470000E+01,0,gw_098,,,,,,,
gw_098_20021008,-3.0560000E+01,0,gw_098,,,,,,,
gw_098_20021125,-3.0590000E+01,0,gw_098,,,,,,,
gw_098_20030611,-3.0560000E+01,0,gw_098,,,,,,,
gw_098_20030722,-3.0140000E+01,0,gw_098,,,,,,,
gw_098_20031030,-3.0050000E+01,0,gw_098,,,,,,,
gw_124_19950623,-8.0600000E+00,18.0959658,gw_124,,,,,,,
gw_124_19950626,-8.0000000E+00,18.0959658,gw_124,,,,,,,
gw_124_19950726,-7.5200000E+00,18.0959658,gw_124,,,,,,,
gw_124_19950804,-7.3500000E+00,18.0959658,gw_124,,,,,,,
gw_124_19951206,-6.6300000E+00,18.0959658,gw_124,,,,,,,
gw_124_19960213,-7.4600000E+00,18.0959658,gw_124,,,,,,,
gw_124_19960327,-7.8900000E+00,18.0959658,gw_124,,,,,,,
gw_124_19960528,-8.6400000E+00,18.0959658,gw_124,,,,,,,
gw_124_19960614,-8.4600000E+00,18.0959658,gw_124,,,,,,,
gw_124_19960809,-7.6400000E+00,18.0959658,gw_124,,,,,,,
gw_124_19961121,-7.5100000E+00,18.0959658,gw_124,,,,,,,
gw_124_19970221,-8.4800000E+00,18.0959658,gw_124,,,,,,,
gw_124_19970425,-8.5400000E+00,18.0959658,gw_124,,,,,,,
gw_124_19970725,-7.7300000E+00,18.0959658,gw_124,,,,,,,
gw_124_19971010,-6.7700000E+00,18.0959658,gw_124,,,,,,,
gw_124_19971217,-7.3500000E+00,18.0959658,gw_124,,,,,,,
gw_124_19980219,-8.0400000E+00,18.0959658,gw_124,,,,,,,
gw_124_19980402,-8.4100000E+00,18.0959658,gw_124,,,,,,,
gw_124_19980513,-8.7000000E+00,18.0959658,gw_124,,,,,,,
gw_124_19980518,-8.7000000E+00,18.0959658,gw_124,,,,,,,
gw_124_19980609,-8.6000000E+00,18.0959658,gw_124,,,,,,,
gw_124_19980625,-8.2400000E+00,18.0959658,gw_124,,,,,,,
gw_124_19980731,-7.4600000E+00,18.0959658,gw_124,,,,,,,
gw_124_19981001,-6.5100000E+00,18.0959658,gw_124,,,,,,,
gw_124_19990226,-7.6100000E+00,18.0959658,gw_124,,,,,,,
gw_124_19990329,-7.9600000E+00,18.0959658,gw_124,,,,,,,
gw_124_19990706,-8.2000000E+00,18.0959658,gw_124,,,,,,,
gw_124_19991026,-7.4500000E+00,18.0959658,gw_124,,,,,,,
gw_124_20000128,-8.1200000E+00,18.0959658,gw_124,,,,,,,
gw_124_20000512,-8.8800000E+00,18.0959658,gw_124,,,,,,,
gw_124_20000807,-7.2500000E+00,18.0959658,gw_124,,,,,,,
gw_124_20001030,-6.8900000E+00,18.0959658,gw_124,,,,,,,
gw_124_20010118,-7.7800000E+00,18.0959658,gw_124,,,,,,,
gw_124_20010419,-8.4900000E+00,18.0959658,gw_124,,,,,,,
gw_124_20010425,-8.5300000E+00,18.0959658,gw_124,,,,,,,
gw_124_20010709,-7.6700000E+00,18.0959658,gw_124,,,,,,,
gw_124_20011001,-6.1900000E+00,18.0959658,gw_124,,,,,,,
gw_124_20020305,-7.8300000E+00,18.0959658,gw_124,,,,,,,
gw_124_20020516,-5.7100000E+00,18.0959658,gw_124,,,,,,,
gw_124_20020522,-8.8100000E+00,18.0959658,gw_124,,,,,,,
gw_124_20020612,-8.4700000E+00,18.0959658,gw_124,,,,,,,
gw_124_20020710,-8.3000000E+00,18.0959658,gw_124,,,,,,,
gw_124_20021008,-8.8600000E+00,18.0959658,gw_124,,,,,,,
