name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
M075_LCO3_200906,3437.87,185.168,3018.86,4045.61,3623.03,3252.7,20288.3,2015.63,16165.7,27347.7,22303.9,18272.7,12120.1
M075_LCO3_200912,873.112,185.355,320.731,1363.28,1058.47,687.757,7249.79,964.476,5663,10393.2,8214.27,6285.32,4299.72
M075_LCO3_201005,3496.3,184.133,3041.15,4004.35,3680.43,3312.16,16629.2,1351.91,14168,21596.1,17981.1,15277.3,10163.7
M075_LCO3_201007,1124.83,170.886,744.253,1591.87,1295.72,953.947,11703.9,1163.92,8669.51,16083.5,12867.8,10540,7077.65
M075_LCO3_201111,932.104,172.519,424.31,1428.34,1104.62,759.585,9309.79,726.859,6551.63,11066,10036.6,8582.93,5123.29
M075_LHCO3_199201,120007,5385.54,104745,134260,125393,114622,52190.8,11800.4,23578.2,90963.5,63991.1,40390.4,13781.9
M075_LHCO3_199203,188639,5653.27,174909,205468,194292,182986,66040.7,15208.6,28506.6,110302,81249.4,50832.1,64607
M075_LHCO3_199205,459442,5007.07,446837,471995,464449,454435,63576.2,14224.2,30586,110717,77800.5,49352,336120
M075_LHCO3_199208,213101,5624.56,198524,225212,218725,207476,49403.6,11569.3,21645.9,85237.7,60972.9,37834.3,113286
M075_LHCO3_199211,144371,5833.76,128813,160218,150204,138537,47413.4,10879.3,21246.7,83852.7,58292.7,36534.1,44960.8
M075_LHCO3_199303,268177,5790.52,250523,282909,273968,262386,80797.4,18362.9,36016.7,131181,99160.3,62434.5,119341
M075_LHCO3_199305,536479,4973.44,525698,547422,541452,531505,136635,31298.2,67547.4,235662,167934,105337,290036
M075_LHCO3_199309,500390,5480.8,484502,513464,505871,494909,75195.2,18465.7,32516.4,142405,93661,56729.5,342096
M075_LHCO3_199411,200676,5097.9,186440,213063,205774,195578,59944.6,14341.3,25701.4,114391,74285.9,45603.3,72049.2
M075_LHCO3_199501,153333,5534.68,137308,165338,158868,147798,61704.7,14864.8,26840,117741,76569.5,46840,19567.4
M075_LHCO3_199502,247033,5367.66,232207,259496,252401,241665,72875.6,17571,30191.1,136853,90446.6,55304.7,95354.5
M075_LHCO3_199504,256260,5215.42,241293,270028,261476,251045,77364.2,19355.9,32898.8,147095,96720.1,58008.3,94198.1
M075_LHCO3_199505,306716,6011.18,290759,322671,312727,300705,84757.8,21235.6,35129.4,172546,105993,63522.2,118213
M075_LHCO3_199506,870077,5538.13,854719,882376,875615,864539,170652,41677.9,77225,321189,212330,128974,533530
M075_LHCO3_199508,273657,5688.12,260730,285439,279345,267969,80776.2,21255,33875.3,163432,102031,59521.1,97297.2
M075_LHCO3_199509,174038,5009.67,161973,190238,179048,169028,76691.7,19588.9,32209.7,152374,96280.6,57102.8,9598.7
M075_LHCO3_199510,204456,5211.41,192463,216244,209667,199244,72333.1,17974.5,30594.3,143025,90307.5,54358.6,49437.5
M075_LHCO3_199610,246790,5691.93,230541,263990,252482,241098,84469,24272.1,34769.2,179982,108741,60196.9,50558.5
M075_LHCO3_199712,181407,5983.35,162489,196252,187390,175423,77705.3,19296.2,33176.1,153397,97001.6,58409.1,9091.51
M075_LHCO3_199805,562699,5518.17,549082,577336,568217,557181,78666.2,19530.6,34585.3,154144,98196.7,59135.6,394938
M075_LHCO3_199906,741411,5299.27,727621,752820,746710,736112,124857,30437.2,58226.3,235413,155294,94419.6,492208
M075_LHCO3_199907,668422,5116.09,652158,680594,673538,663306,97473.4,26158.3,41422.9,203077,123632,71315.1,449081
M075_LHCO3_199908,610686,5144.66,596039,622011,615831,605541,88473.6,21835.7,37142.5,171723,110309,66637.9,424316
M075_LHCO3_199912,159833,5298.2,146693,172953,165131,154535,74921.6,18278.5,32670.6,146284,93200.1,56643.1,408.294
M075_LHCO3_200004,217419,6060.7,202223,229473,223480,211358,88100.9,21472.1,38058.7,169209,109573,66628.8,33013.9
