name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
STR_012_200611,3.38663,0.364585,2.47613,4.50997,3.75121,3.02204,0.492302,0.00743077,0.4658,0.5105,0.499733,0.484872,1.96563
STR_012_200612,2.13793,0.337789,1.1096,3.03132,2.47572,1.80014,0.106873,0.00411186,0.09811,0.1176,0.110985,0.102761,0.992001
STR_012_200701,1.70182,0.343919,0.81764,2.82607,2.04574,1.3579,0.0966188,0.00289071,0.09173,0.1049,0.0995095,0.0937281,0.71274
STR_012_200702,1.65066,0.381085,0.206091,2.81809,2.03175,1.26958,0.0942904,0.00160259,0.09109,0.1,0.095893,0.0926878,0.106091
STR_012_200703,3.01191,0.368494,1.96786,3.95273,3.3804,2.64342,0.251616,0.00129458,0.249,0.2576,0.252911,0.250321,1.71026
STR_012_200705,22.4392,0.339243,21.528,23.6167,22.7784,22.0999,35.0757,0.207938,34.57,35.49,35.2836,34.8677,10.9533
STR_012_200706,33.1925,0.352598,32.1916,34.1211,33.5451,32.8399,16.0192,0.0822697,15.84,16.22,16.1015,15.937,15.9716
STR_012_200707,10.5377,0.339842,9.6447,11.539,10.8775,10.1979,15.3065,0.0262478,15.16,15.35,15.3328,15.2803,3.62101
STR_012_200708,7.93956,0.355391,6.86939,9.17446,8.29495,7.58417,24.0847,0.0180924,24.01,24.12,24.1028,24.0666,14.8355
STR_012_200709,6.70947,0.362661,5.67426,7.91873,7.07213,6.34681,19.3426,0.0147917,19.3,19.38,19.3574,19.3278,11.3813
STR_012_200710,6.43454,0.376235,5.36198,7.41221,6.81077,6.0583,4.6641,0.0729051,4.5,4.764,4.73701,4.59119,0.597982
STR_012_200711,2.81039,0.375856,1.32074,3.84433,3.18624,2.43453,0.431929,0.0139215,0.382,0.4727,0.44585,0.418007,0.848044
STR_012_200712,2.10919,0.369649,1.19334,3.18092,2.47884,1.73954,0.340217,0.0184262,0.2671,0.3739,0.358643,0.32179,0.819445
STR_012_200801,2.04193,0.348341,1.03663,3.05373,2.39028,1.69359,0.275473,0.021154,0.2203,0.3151,0.296627,0.254319,0.721535
STR_012_200802,2.08266,0.37965,1.06425,3.09791,2.46231,1.70301,0.226665,0.0219099,0.188,0.2644,0.248575,0.204755,0.799846
STR_012_200803,2.1993,0.360045,1.22036,3.27338,2.55934,1.83925,0.191292,0.0180615,0.1652,0.2256,0.209354,0.17323,0.99476
STR_012_200804,5.31583,0.390947,4.29535,6.40014,5.70678,4.92489,0.16923,0.0131167,0.1526,0.1985,0.182346,0.156113,4.09685
STR_012_200806,41.5079,0.368395,40.4899,42.8105,41.8763,41.1395,48.1113,0.046944,48.01,48.24,48.1582,48.0643,5.1995
STR_012_200807,19.021,0.366963,17.9996,20.0465,19.3879,18.654,12.1104,0.0215335,12.07,12.17,12.132,12.0889,5.8296
STR_012_200808,6.07155,0.36401,5.08659,7.13611,6.43556,5.70754,20.6009,0.015674,20.42,20.65,20.6166,20.5852,13.2839
STR_012_200809,3.99002,0.334463,2.96106,4.83928,4.32448,3.65555,17.0977,0.0152415,16.89,17.14,17.113,17.0825,12.0507
STR_012_200811,2.14855,0.342837,1.26061,3.29906,2.49139,1.80572,0.435128,0.0157926,0.3456,0.4552,0.45092,0.419335,0.805411
STR_012_200812,1.87667,0.372278,0.831383,2.94238,2.24895,1.5044,0.395534,0.0188234,0.3268,0.4215,0.414357,0.376711,0.409883
STR_012_200901,2.12106,0.356837,1.16906,2.97956,2.4779,1.76422,0.333761,0.0177497,0.2805,0.355,0.351511,0.316011,0.814064
STR_012_200902,1.62727,0.359237,0.525348,2.53699,1.9865,1.26803,0.280438,0.0174662,0.2341,0.3001,0.297904,0.262972,0.225248
STR_012_200903,2.99727,0.367063,1.83999,3.83799,3.36433,2.6302,0.240409,0.0158732,0.2018,0.2531,0.256282,0.224536,1.58689
STR_012_200904,6.96945,0.332826,6.04518,8.29652,7.30228,6.63663,0.219595,0.0140619,0.1858,0.2304,0.233657,0.205533,5.81478
STR_012_200905,33.5675,0.37416,32.444,34.7213,33.9417,33.1934,38.5082,0.0698533,38.11,38.64,38.5781,38.4384,3.38867
STR_012_200906,21.4293,0.358864,20.4841,22.6967,21.7881,21.0704,11.0408,0.0698611,10.88,11.15,11.1107,10.971,9.33412
STR_012_200908,3.26184,0.337779,2.1584,4.1237,3.59962,2.92407,14.8698,0.0187563,14.76,14.9,14.8886,14.851,10.6363
STR_012_200909,2.87616,0.339953,2.01554,4.03457,3.21611,2.5362,14.1312,0.0269177,14.02,14.16,14.1582,14.1043,9.98543
STR_012_200911,1.91889,0.363899,0.834423,3.00936,2.28279,1.55499,0.372335,0.0200361,0.3067,0.4166,0.392371,0.352299,0.417823
STR_012_200912,1.84979,0.341997,0.906849,2.66163,2.19179,1.5078,0.453092,0.023962,0.3853,0.4933,0.477054,0.42913,0.413549
STR_012_201001,1.99118,0.33322,1.05768,2.82777,2.3244,1.65796,0.377626,0.0262817,0.3239,0.4306,0.403908,0.351345,0.627079
STR_012_201002,1.71744,0.360927,0.51113,2.68517,2.07837,1.35651,0.320219,0.0258614,0.2779,0.3731,0.34608,0.294357,0.13803
STR_012_201003,1.90901,0.394523,0.878514,3.01144,2.30353,1.51449,0.220151,0.0249787,0.1895,0.2755,0.245129,0.195172,0.603014
STR_012_201004,5.9729,0.342667,4.93507,6.93304,6.31556,5.63023,0.161054,0.0222541,0.1371,0.2161,0.183308,0.1388,4.71897
STR_012_201005,20.7288,0.359161,19.6881,21.7518,21.088,20.3697,25.3122,0.152607,24.97,25.67,25.4648,25.1596,3.21816
STR_012_201006,27.5396,0.364147,26.4077,28.635,27.9037,27.1754,16.65,0.141433,16.13,16.83,16.7914,16.5086,9.57771
STR_012_201007,6.43723,0.351671,5.55204,7.55004,6.7889,6.08556,13.1207,0.0775942,12.88,13.19,13.1983,13.0431,5.32996
STR_012_201008,6.19683,0.349353,5.19742,7.32685,6.54618,5.84747,22.701,0.0441031,22.48,22.79,22.7451,22.6569,15.1531
STR_012_201009,3.09716,0.350905,2.03737,4.03698,3.44806,2.74625,17.5543,0.0327332,17.27,17.65,17.5871,17.5216,13.233
STR_012_201010,3.25332,0.363206,2.07553,4.13436,3.61653,2.89012,7.32118,0.0161595,7.208,7.387,7.33734,7.30502,3.07364
STR_012_201011,2.60688,0.373057,1.48414,3.74452,2.97993,2.23382,0.463278,0.00973079,0.4376,0.4947,0.473009,0.453547,0.989443
STR_012_201012,1.8902,0.366517,0.937131,2.94861,2.25672,1.52368,0.75586,0.00884102,0.7264,0.7887,0.764701,0.747019,0.148431
STR_012_201101,1.86649,0.367141,0.786883,2.79454,2.23363,1.49935,0.578769,0.00892358,0.5563,0.6135,0.587692,0.569845,0.173383
STR_012_201103,1.56934,0.374788,0.591947,2.88636,1.94412,1.19455,0.254875,0.0116599,0.2175,0.2903,0.266535,0.243215,0.301647
STR_012_201104,4.02227,0.36063,2.97523,5.08876,4.3829,3.66164,0.178925,0.00929306,0.1473,0.212,0.188218,0.169632,2.76323
STR_012_201105,10.6644,0.368151,9.54621,11.5912,11.0326,10.2963,12.8491,0.0655172,12.77,12.97,12.9146,12.7836,1.17878
STR_012_201106,45.3084,0.345344,44.2638,46.2313,45.6538,44.9631,48.4137,0.191074,47.91,48.97,48.6048,48.2227,1.67867
STR_012_201107,21.6146,0.347478,20.2421,22.6083,21.9621,21.2671,13.679,0.0503732,13.54,13.8,13.7294,13.6286,6.4421
STR_012_201108,5.31992,0.345961,4.21896,6.21487,5.66588,4.97396,21.1093,0.0239173,20.88,21.15,21.1332,21.0853,14.6651
STR_012_201109,3.63876,0.370392,2.43909,4.98874,4.00916,3.26837,16.9471,0.0293596,16.7,16.98,16.9765,16.9178,11.7113
STR_012_201110,3.47066,0.371719,2.37669,4.40807,3.84238,3.09894,4.81528,0.0166488,4.788,4.858,4.83193,4.79863,0.379925
